DQ431711	Herring et al	Virology 363 (1), 220-228 (2007)	Phylogenetic analysis of WNV in North American blood donors during the 2003-2004 epidemic seasons	https://www.ncbi.nlm.nih.gov/pubmed/17321561
KJ501349	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501349
MH166905	Swetnam et al	Emerging Infect. Dis. 24 (12) (2018) In press	Terrestrial Bird Migration and West Nile Virus Circulation, United States	https://www.ncbi.nlm.nih.gov/nuccore/MH166905
KJ501124	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501124
KX547290	Shabman et al	Submitted (12-JUL-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KX547290
KR349025	Duggal et al	Virology 485, 79-85 (2015)	Genotype-specific variation in West Nile virus dispersal in California	https://www.ncbi.nlm.nih.gov/pubmed/26210076
KR348993	Duggal et al	Virology 485, 79-85 (2015)	Genotype-specific variation in West Nile virus dispersal in California	https://www.ncbi.nlm.nih.gov/pubmed/26210076
HM488212	Armstrong et al	Virology 417 (1), 203-210 (2011)	Molecular evolution of West Nile virus in a northern temperate region: Connecticut, USA 1999-2008	https://www.ncbi.nlm.nih.gov/pubmed/21723580
KJ501429	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501429
MH170244	Swetnam et al	Emerging Infect. Dis. 24 (12) (2018) In press	Terrestrial Bird Migration and West Nile Virus Circulation, United States	https://www.ncbi.nlm.nih.gov/nuccore/MH170244
JF920740	Henn et al	Submitted (06-MAY-2011) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/JF920740
KJ501468	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501468
JF920759	Henn et al	Submitted (06-MAY-2011) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/JF920759
KJ501141	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501141
KX547264	Shabman et al	Submitted (12-JUL-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KX547264
KJ501307	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501307
KJ501374	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501374
HQ671714	Henn et al	Submitted (29-OCT-2010) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/HQ671714
MF175856	Aroh et al	Unpublished	2012 West Nile Virus differ in frequency of introductions into Texas and ability to overwinter, 2012-2015	https://www.ncbi.nlm.nih.gov/nuccore/MF175856
MF175872	Aroh et al	Unpublished	2012 West Nile Virus differ in frequency of introductions into Texas and ability to overwinter, 2012-2015	https://www.ncbi.nlm.nih.gov/nuccore/MF175872
KR348916	Duggal et al	Virology 485, 79-85 (2015)	Genotype-specific variation in West Nile virus dispersal in California	https://www.ncbi.nlm.nih.gov/pubmed/26210076
HQ671700	Henn et al	Submitted (29-OCT-2010) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/HQ671700
KX547349	Shabman et al	Submitted (12-JUL-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KX547349
MF175831	Aroh et al	Unpublished	2012 West Nile Virus differ in frequency of introductions into Texas and ability to overwinter, 2012-2015	https://www.ncbi.nlm.nih.gov/nuccore/MF175831
KX547472	Shabman et al	Submitted (12-JUL-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KX547472
JF920734	Henn et al	Submitted (06-MAY-2011) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/JF920734
MH166903	Swetnam et al	Emerging Infect. Dis. 24 (12) (2018) In press	Terrestrial Bird Migration and West Nile Virus Circulation, United States	https://www.ncbi.nlm.nih.gov/nuccore/MH166903
KR348953	Duggal et al	Virology 485, 79-85 (2015)	Genotype-specific variation in West Nile virus dispersal in California	https://www.ncbi.nlm.nih.gov/pubmed/26210076
KR348966	Duggal et al	Virology 485, 79-85 (2015)	Genotype-specific variation in West Nile virus dispersal in California	https://www.ncbi.nlm.nih.gov/pubmed/26210076
KJ501323	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501323
KJ501319	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501319
KX547377	Shabman et al	Submitted (12-JUL-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KX547377
KX547514	Shabman et al	Submitted (12-JUL-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KX547514
JF415915	McMullen et al	Emerging Infect. Dis. 17 (5), 785-793 (2011)	Evolution of new genotype of West Nile virus in North America	https://www.ncbi.nlm.nih.gov/pubmed/21529385
KX547459	Shabman et al	Submitted (12-JUL-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KX547459
KJ501458	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501458
KX547508	Shabman et al	Submitted (12-JUL-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KX547508
KR348935	Duggal et al	Virology 485, 79-85 (2015)	Genotype-specific variation in West Nile virus dispersal in California	https://www.ncbi.nlm.nih.gov/pubmed/26210076
HM488198	Henn et al	Submitted (12-MAY-2010) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/HM488198
JQ700441	Anez et al	PLoS Negl Trop Dis 7 (5), E2245 (2013)	Evolutionary dynamics of west nile virus in the United States, 1999-2011: phylogeny, selection pressure and evolutionary time-scale analysis	https://www.ncbi.nlm.nih.gov/pubmed/23738027
KX547518	Shabman et al	Submitted (12-JUL-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KX547518
KX547340	Shabman et al	Submitted (12-JUL-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KX547340
KJ501258	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501258
HM488175	Armstrong et al	Virology 417 (1), 203-210 (2011)	Molecular evolution of West Nile virus in a northern temperate region: Connecticut, USA 1999-2008	https://www.ncbi.nlm.nih.gov/pubmed/21723580
HM488165	Armstrong et al	Virology 417 (1), 203-210 (2011)	Molecular evolution of West Nile virus in a northern temperate region: Connecticut, USA 1999-2008	https://www.ncbi.nlm.nih.gov/pubmed/21723580
KJ501119	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501119
GQ507470	Pybus et al	Proc. Natl. Acad. Sci. U.S.A. 109 (37), 15066-15071 (2012)	Unifying the spatial epidemiology and molecular evolution of emerging epidemics	https://www.ncbi.nlm.nih.gov/pubmed/22927414
KR348919	Duggal et al	Virology 485, 79-85 (2015)	Genotype-specific variation in West Nile virus dispersal in California	https://www.ncbi.nlm.nih.gov/pubmed/26210076
DQ080066	Deardorff et al	Emerging Infect. Dis. 12 (2), 314-318 (2006)	Introductions of West Nile virus strains to Mexico	https://www.ncbi.nlm.nih.gov/pubmed/16494762
KJ501283	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501283
KJ501485	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501485
HQ705660	Henn et al	Submitted (03-DEC-2010) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/HQ705660
KJ501132	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501132
GQ507482	Pybus et al	Proc. Natl. Acad. Sci. U.S.A. 109 (37), 15066-15071 (2012)	Unifying the spatial epidemiology and molecular evolution of emerging epidemics	https://www.ncbi.nlm.nih.gov/pubmed/22927414
HQ671697	Henn et al	Submitted (29-OCT-2010) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/HQ671697
KM012186	Grinev et al	PLoS Negl Trop Dis 10 (5), E0004717 (2016)	Genetic Variability of West Nile Virus in U.S. Blood Donors from the 2012 Epidemic Season	https://www.ncbi.nlm.nih.gov/pubmed/27182734
KX547422	Shabman et al	Submitted (12-JUL-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KX547422
KX547301	Shabman et al	Submitted (12-JUL-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KX547301
JF415924	McMullen et al	Emerging Infect. Dis. 17 (5), 785-793 (2011)	Evolution of new genotype of West Nile virus in North America	https://www.ncbi.nlm.nih.gov/pubmed/21529385
GU828004	May et al	Virology 405 (1), 8-14 (2010)	Multiple pathways to the attenuation of West Nile virus in South-East Texas in 2003	https://www.ncbi.nlm.nih.gov/pubmed/20580395
HM756671	Henn et al	Submitted (24-JUN-2010) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/HM756671
KX547253	Shabman et al	Submitted (12-JUL-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KX547253
KF704158	Plante et al	Emerging Infect. Dis. 20 (2), 272-275 (2014)	Co-circulation of West Nile Virus Variants, Arizona, USA, 2010	https://www.ncbi.nlm.nih.gov/pubmed/24447818
MH166921	Swetnam et al	Emerging Infect. Dis. 24 (12) (2018) In press	Terrestrial Bird Migration and West Nile Virus Circulation, United States	https://www.ncbi.nlm.nih.gov/nuccore/MH166921
DQ080072	Deardorff et al	Emerging Infect. Dis. 12 (2), 314-318 (2006)	Introductions of West Nile virus strains to Mexico	https://www.ncbi.nlm.nih.gov/pubmed/16494762
DQ164205	Davis et al	Virology 342 (2), 252-265 (2005)	Phylogenetic analysis of North American West Nile virus isolates, 2001-2004: evidence for the emergence of a dominant genotype	https://www.ncbi.nlm.nih.gov/pubmed/16137736
HM488194	Henn et al	Submitted (12-MAY-2010) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/HM488194
KJ501321	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501321
KJ501492	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501492
KC333382	Mann et al	Emerging Infect. Dis. 19 (9), 1418-1427 (2013)	Continued evolution of West Nile virus, Houston, Texas, USA, 2002-2012	https://www.ncbi.nlm.nih.gov/pubmed/23965756
KR348951	Duggal et al	Virology 485, 79-85 (2015)	Genotype-specific variation in West Nile virus dispersal in California	https://www.ncbi.nlm.nih.gov/pubmed/26210076
KX547227	Shabman et al	Submitted (12-JUL-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KX547227
KX547269	Shabman et al	Submitted (12-JUL-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KX547269
KR349008	Duggal et al	Virology 485, 79-85 (2015)	Genotype-specific variation in West Nile virus dispersal in California	https://www.ncbi.nlm.nih.gov/pubmed/26210076
HM488235	Armstrong et al	Virology 417 (1), 203-210 (2011)	Molecular evolution of West Nile virus in a northern temperate region: Connecticut, USA 1999-2008	https://www.ncbi.nlm.nih.gov/pubmed/21723580
KJ501479	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501479
KJ501394	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501394
KR348936	Duggal et al	Virology 485, 79-85 (2015)	Genotype-specific variation in West Nile virus dispersal in California	https://www.ncbi.nlm.nih.gov/pubmed/26210076
MH166904	Swetnam et al	Emerging Infect. Dis. 24 (12) (2018) In press	Terrestrial Bird Migration and West Nile Virus Circulation, United States	https://www.ncbi.nlm.nih.gov/nuccore/MH166904
KX547347	Shabman et al	Submitted (12-JUL-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KX547347
KX547198	Shabman et al	Submitted (12-JUL-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KX547198
KJ501277	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501277
MG004535	Hepp et al	Unpublished	Evidence for persistent establishment of West Nile Virus in the Phoenix Metropolitan area	https://www.ncbi.nlm.nih.gov/nuccore/MG004535
JF957171	Anez et al	PLoS Negl Trop Dis 7 (5), E2245 (2013)	Evolutionary dynamics of west nile virus in the United States, 1999-2011: phylogeny, selection pressure and evolutionary time-scale analysis	https://www.ncbi.nlm.nih.gov/pubmed/23738027
HM488243	Henn et al	Submitted (04-JUN-2010) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/HM488243
MH170273	Swetnam et al	Emerging Infect. Dis. 24 (12) (2018) In press	Terrestrial Bird Migration and West Nile Virus Circulation, United States	https://www.ncbi.nlm.nih.gov/nuccore/MH170273
KX547308	Shabman et al	Submitted (12-JUL-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KX547308
HM488253	Henn et al	Submitted (04-JUN-2010) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/HM488253
KM012175	Grinev et al	PLoS Negl Trop Dis 10 (5), E0004717 (2016)	Genetic Variability of West Nile Virus in U.S. Blood Donors from the 2012 Epidemic Season	https://www.ncbi.nlm.nih.gov/pubmed/27182734
AF260967	Bowen et al	Unpublished	Complete genomic sequence of West Nile virus equine isolate New York 1999	https://www.ncbi.nlm.nih.gov/nuccore/AF260967
HM756650	Armstrong et al	Virology 417 (1), 203-210 (2011)	Molecular evolution of West Nile virus in a northern temperate region: Connecticut, USA 1999-2008	https://www.ncbi.nlm.nih.gov/pubmed/21723580
KX547584	Shabman et al	Submitted (12-JUL-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KX547584
KX547532	Shabman et al	Submitted (12-JUL-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KX547532
MH166900	Swetnam et al	Emerging Infect. Dis. 24 (12) (2018) In press	Terrestrial Bird Migration and West Nile Virus Circulation, United States	https://www.ncbi.nlm.nih.gov/nuccore/MH166900
HM488183	Henn et al	Submitted (12-MAY-2010) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/HM488183
KX547213	Shabman et al	Submitted (12-JUL-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KX547213
HM756651	Armstrong et al	Virology 417 (1), 203-210 (2011)	Molecular evolution of West Nile virus in a northern temperate region: Connecticut, USA 1999-2008	https://www.ncbi.nlm.nih.gov/pubmed/21723580
